Sharukh,M,40,17/04/1982,kat12@gmail.com,9876785600,Haridwara,123
Salman Khan,M,45,29/02/1981,sallu@gmail.com,789987005,Kerala,123
Sanjay Singh,M,67,27/01/2001,singh12@gmail.com,7650001341,Gadag,gvu
Ananth Kumar,M,56,17/04/1982,kat12@gmail.com,9876785610,Haridwara,123
Kajol,F,45,29/02/1981,sallu@gmail.com,789987005,Kerala,123
Preethi sinha,F,46,13/04/1980,sinha34@gmail.com,986543671,Pune,123
Mrinalini Sarabhai,F,49,13/04/1980,sarabhai34@gmail.com,986543670,Pune,123
Prveen Kumar,M,46,13/04/1980,kumar34@gmail.com,986543672,Pune-mumbai,123
Aishwarya,F,56,13/10/1979,aish123@gmail.com,9090100789,Ganga,123
Zokomo,F,56,15/09/1970,zzz@gmail.com,656549876,future hose,123
Arjun Singh,M,15,16/09/2009,aru123@gmail.com,98786543,Madiwala,sushi#22
